,Id,Locality,Type,SubType,Sale_Type,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool,Muniplicity,Region
11378,20112694,Herzele,Other,farmhouse,Private,525000,7,272,0,0,0,0,0,0,0,272,13589,To renovate,4,0,Oost-Vlaanderen,Brussel
11379,20112676,Bottelare,House,house,Private,372000,2,116,1,0,0,1,16,1,93,225,190,As new,2,1,Oost-Vlaanderen,Brussel
11380,20112461,Wingene,House,house,Private,779000,2,190,1,0,0,1,0,0,0,190,2476,Good,4,0,West-Vlaanderen,Wallonia
11381,20112410,Antheit,House,house,Private,315000,3,147,1,0,1,1,50,1,4077,4274,4480,To be done up,3,0,Luik,Wallonia
11382,20112370,Awirs,House,house,Private,285000,5,250,1,0,0,1,90,0,0,340,892,Good,4,0,Luik,Wallonia
11383,20112348,Bressoux,House,house,Private,99000,4,217,0,0,0,0,0,1,650,867,885,To restore,4,1,Luik,Wallonia
11384,20112296,Gent,House,house,Private,357000,4,218,1,0,0,1,0,0,0,218,140,To be done up,2,0,Oost-Vlaanderen,Brussel
11385,20112048,Aalst,House,house,Private,565000,4,195,1,0,0,1,66,1,1100,1361,1519,As new,4,0,Limburg,Falnders
11386,20112048,Aalst,House,house,Private,565000,4,195,1,0,0,1,66,1,1100,1361,1519,As new,4,0,Oost-Vlaanderen,Brussel
11387,20112030,Koksijde,Apartment,apartment,Private,295000,2,86,1,1,0,0,0,0,0,86,0,Good,0,0,West-Vlaanderen,Wallonia
11388,20112028,Laken,Apartment,apartment,Private,280000,3,110,1,0,0,1,28,0,0,138,0,As new,3,1,Brussel,Falnders
11389,20112000,Anderlecht,House,house,Private,295000,4,124,1,0,0,0,0,1,60,184,101,To renovate,2,0,Brussel,Falnders
11390,20111873,Merksem,Apartment,apartment,Private,210000,2,70,1,0,0,1,3,0,0,73,0,Just renovated,2,0,Antwerpen,Falnders
11391,20111847,Aywaille,House,house,Private,795000,5,336,1,0,0,1,41,1,2126,2503,2450,Good,4,1,Luik,Wallonia
11392,20111637,Brakel,House,mixed-use-building,Private,345000,5,352,0,0,0,1,0,0,0,352,650,Not Known,2,0,Oost-Vlaanderen,Brussel
11393,20111541,Harsin,House,house,Private,199000,3,100,1,0,0,1,0,1,612,712,612,Good,4,0,Luxemburg,Brussel
11394,20111473,Aubel,House,house,Private,349000,3,0,0,0,0,1,1,1,1,2,1044,Good,4,0,Luik,Wallonia
11395,20111288,Beverst,Apartment,apartment,Private,323226,2,77,0,0,0,1,9,0,0,86,0,Not Known,0,0,Limburg,Falnders
11396,20111279,Awans,House,house,Private,650000,3,206,1,0,0,1,95,1,790,1091,1060,Not Known,4,0,Luik,Wallonia
11397,20111208,Middelburg,Other,farmhouse,Private,750000,3,0,0,0,0,0,0,1,30234,30234,30234,To renovate,0,0,Oost-Vlaanderen,Brussel
11398,20111144,Schaarbeek,Apartment,apartment,Private,395000,3,147,1,0,1,1,12,0,0,159,0,Good,2,1,Brussel,Falnders
11399,20111081,Londerzeel,Apartment,duplex,Private,329000,2,86,0,0,0,1,30,0,0,116,0,As new,0,0,Vlaams-Brabant,Brussel
11400,20110677,Arsimont,Apartment,apartment,Private,159000,1,57,1,0,0,1,5,0,0,62,0,Good,3,0,Namen,Brussel
11401,20110606,Schaarbeek,Apartment,apartment,Private,340000,2,104,0,0,0,1,8,0,0,112,0,Good,2,0,Brussel,Falnders
11402,20110551,Amonines,House,house,Private,275000,7,241,1,0,0,1,121,1,609,971,780,Good,3,1,Luxemburg,Brussel
11403,20110436,Brugge,House,house,Private,545000,4,312,0,0,0,1,0,0,0,312,106,Good,2,0,West-Vlaanderen,Wallonia
11404,20110379,Breendonk,House,house,Private,575000,4,200,1,0,0,0,0,1,765,965,1200,As new,4,0,Antwerpen,Falnders
11405,20110090,Aubange,House,house,Private,450000,4,255,1,0,0,1,82,0,0,337,706,Good,2,0,Luxemburg,Brussel
11406,20110060,Emelgem,Other,offices,Private,105000,0,114,0,0,0,0,0,0,0,114,467,Not Known,2,0,West-Vlaanderen,Wallonia
11407,20110045,Glain,Apartment,apartment,Private,174000,2,94,1,0,0,0,0,1,40,134,0,Good,2,1,Luik,Wallonia
11408,20109698,Emelgem,House,house,Private,159000,2,151,0,0,0,1,0,0,0,151,256,To renovate,0,0,West-Vlaanderen,Wallonia
11409,20109576,Maaseik,House,villa,Private,759000,4,348,0,0,1,0,0,1,1539,1887,1764,As new,4,0,Limburg,Falnders
11410,20109551,Astene,House,house,Private,260000,3,142,0,0,0,0,0,0,0,142,954,To be done up,0,0,Oost-Vlaanderen,Brussel
11411,20109339,Antwerpen,House,house,Private,375000,3,145,1,0,0,0,0,1,358,503,358,Good,0,0,Antwerpen,Falnders
11412,20109339,Antwerpen,House,house,Private,375000,3,145,1,0,0,0,0,1,358,503,358,Good,0,0,Antwerpen,Falnders
11413,20109339,Antwerpen,House,house,Private,375000,3,145,1,0,0,0,0,1,358,503,358,Good,0,0,Antwerpen,Falnders
11414,20109339,Antwerpen,House,house,Private,375000,3,145,1,0,0,0,0,1,358,503,358,Good,0,0,Antwerpen,Falnders
11415,20109339,Antwerpen,House,house,Private,375000,3,145,1,0,0,0,0,1,358,503,358,Good,0,0,Antwerpen,Falnders
11416,20109339,Antwerpen,House,house,Private,375000,3,145,1,0,0,0,0,1,358,503,358,Good,0,0,Antwerpen,Falnders
11417,20109339,Antwerpen,House,house,Private,375000,3,145,1,0,0,0,0,1,358,503,358,Good,0,0,Antwerpen,Falnders
